,ProgramID,month,day,year,Program Title,Program Series,Program Type Keys,Venue,Hours,Attendance (in seats),Live Stream,Male Speakers,Female Speakers,People of Color (informal)
143,033116-SS,03,31,2016,Roadmap for Inclusion,SS,1,"Gleacher Center, Uchicago",1.5,95,0,0,1,0
144,040916-SS,04,09,2016,The Myth of Brain Sex,SS,1,UIC Moss Auditorium,1.5,65,0,1,1,1
145,060616-TEI,06,06,2016,C2ST Speakeasy: Urban Farming and Closed-Loop Production,TEI,3,Pint,1.5,50,0,1,0,0
146,061116-SS,06,11,2016,What's Going on at The Plant?,SS,1,Plant Chicago,1.5,52,0,2,1,1
147,070516-HW,07,05,2016,C2ST Speakeasy: Summer of Zika,HW,3,Pint,1.5,35,0,1,0,0
148,080216-HW,08,02,2016,C2ST Speakeasy: The hype versus the science of meditation and mindfulness,HW,3,Pint,1.5,35,0,0,1,0
149,081716-LS,08,17,2016,The Secret Life of Female Chimpanzees,LS,1,Harold Washington Library,1.5,91,20,0,1,0
150,090616-HW,09,06,2016,C2ST Speakeasy: Inherited effects of teenage binge drinking,HW,3,Pint,1.5,10,0,0,1,0
151,092816-CEE,09,28,2016,The Heart of Marine Biodiversity: Saving the Verde Island Passage,CEE,2,Shedd Aquarium,2,130,106,2,0,1
152,100416-SS,10,04,2016,C2ST Speakeasy: Metabolism of a Marathon,SS,3,Pint,1.5,22,0,0,1,0
153,100616-SS,10,06,2016,Hacking the Brain to Find Ourselves,SS,1,Loyola University Center for Translational Research & Education (Maywood Location),1.5,44,0,1,0,0
154,102716-HW,10,27,2016,How the Indoor Microbiome Influence Health,HW,1,British International School (Lincoln Park Location),1.5,63,17,1,0,0
155,111716-CEE,11,17,2016,Climate Change and Energy Needs: Finding a Path to Sustainability,CEE,2,IIT Kent College of Law,2,180,27,0,1,0
156,120616-PS,12,06,2016,"C2ST Speakeasy: Navigation Across the Oceans, Earth, and Space",PS,3,Pint,1.5,52,0,1,0,0
157,011017-HW,01,10,2017,C2ST Speakeasy: Why in the World Haven’t We Cured Alzheimer’s by Now?,HW,3,Radler,1.5,62,0,0,1,0
158,012817-TEI,01,28,2017,Devil Hack 1.00,TEI,4,Warren Township High School,26,117,0,4,2,1
159,020617-PS,02,06,2017,The Physics of Baseball: What Newton said to the Billygoat,PS,1,Gwendolyn Brooks College Prep,1.5,73,0,1,0,0
